iter	Passed	Remaining
424	2280	3085
425	2283	3076
426	2286	3068
427	2289	3059
428	2293	3053
429	2298	3047
430	2306	3045
431	2314	3043
432	2321	3039
433	2328	3036
434	2331	3028
435	2339	3026
436	2347	3024
437	2352	3017
438	2359	3014
439	2367	3012
440	2372	3007
441	2379	3004
442	2385	2999
443	2393	2997
444	2399	2992
445	2408	2991
446	2415	2987
447	2420	2982
448	2428	2980
449	2436	2978
450	2440	2971
451	2448	2968
452	2456	2966
453	2464	2963
454	2470	2958
455	2477	2955
456	2485	2953
457	2493	2951
458	2499	2945
459	2508	2944
460	2515	2940
461	2518	2932
462	2521	2924
463	2524	2916
464	2526	2907
465	2530	2899
466	2533	2891
467	2535	2882
468	2538	2874
469	2541	2865
470	2544	2857
471	2547	2849
472	2550	2841
473	2553	2833
474	2556	2825
475	2558	2816
476	2561	2808
477	2564	2800
478	2567	2792
479	2571	2785
480	2577	2781
481	2585	2779
482	2592	2774
483	2598	2769
484	2603	2764
485	2607	2757
486	2610	2749
487	2617	2746
488	2625	2743
489	2633	2740
490	2637	2733
491	2646	2732
492	2654	2730
493	2663	2728
494	2671	2725
495	2677	2721
496	2684	2717
497	2689	2711
498	2696	2707
499	2707	2707
500	2717	2706
501	2728	2706
502	2734	2701
503	2739	2696
504	2748	2694
505	2754	2689
506	2762	2686
507	2768	2681
508	2775	2677
509	2781	2672
510	2787	2667
511	2792	2661
512	2796	2654
513	2801	2648
514	2806	2643
515	2810	2636
516	2814	2629
517	2822	2626
518	2831	2623
519	2838	2620
520	2849	2619
521	2856	2616
522	2863	2611
523	2872	2609
524	2876	2602
525	2884	2599
526	2892	2596
527	2897	2590
528	2906	2587
529	2915	2585
530	2921	2580
531	2929	2576
532	2933	2569
533	2940	2566
534	2948	2562
535	2956	2559
536	2960	2552
537	2969	2550
538	2976	2545
539	2982	2540
540	2990	2536
541	2995	2531
542	3001	2526
543	3008	2521
544	3015	2517
545	3021	2512
546	3030	2509
547	3033	2502
548	3041	2498
549	3054	2499
550	3059	2493
551	3067	2489
552	3075	2486
553	3079	2479
554	3087	2475
555	3092	2469
556	3097	2463
557	3101	2456
558	3105	2450
559	3112	2445
560	3116	2438
561	3119	2430
562	3124	2425
563	3128	2418
564	3132	2411
