iter	RMSE
146	49.55454607
147	49.46799728
148	49.43585788
149	49.38048421
150	49.33087502
151	49.27538737
152	49.20357932
153	49.13916221
154	49.00930361
155	48.97455637
156	48.94741662
157	48.87196361
158	48.80972556
159	48.7093978
160	48.66840488
161	48.57334202
162	48.50499629
163	48.34304326
164	48.21594822
165	48.10147617
166	47.99023522
167	47.93113617
168	47.88521236
169	47.80781
170	47.6970983
171	47.64943292
172	47.58185957
173	47.54219083
174	47.44918986
175	47.36974358
176	47.31504044
177	47.23401066
178	47.17220583
179	47.11985229
180	47.01739924
181	46.93466892
182	46.89110057
183	46.85014653
184	46.78842398
185	46.73550995
186	46.67056774
187	46.60952563
188	46.58278115
189	46.5117932
190	46.45162608
191	46.36712909
192	46.30670261
193	46.27622297
194	46.20606115
195	46.14152336
196	46.07029527
197	46.00888954
198	45.94127174
199	45.897313
200	45.86790442
201	45.81946104
202	45.74841206
203	45.70009461
204	45.59881764
205	45.57751971
206	45.48794552
207	45.42545994
208	45.31467687
209	45.26956996
210	45.19987802
211	45.14962893
212	45.10373019
213	45.05830559
214	45.02143474
215	44.96366952
216	44.91189466
217	44.88360987
218	44.83778975
219	44.76934259
220	44.73758784
221	44.67744832
222	44.64847224
223	44.59940266
224	44.55753252
225	44.49975426
226	44.4119665
227	44.36605929
228	44.30984847
229	44.28753868
230	44.23478245
231	44.18782923
232	44.13892725
233	44.08735648
234	44.04122727
235	44.00285488
236	43.96895122
237	43.90672401
238	43.86307783
239	43.82680928
240	43.79434532
241	43.73279714
242	43.68860168
243	43.62515256
244	43.58919499
245	43.55348188
246	43.5227279
247	43.49422025
248	43.45242718
249	43.385591
250	43.35222068
251	43.3157017
252	43.25157529
253	43.22883147
254	43.19625262
255	43.15953429
256	43.13905497
257	43.08956032
258	43.03581417
259	42.99895265
260	42.95893423
261	42.91861441
262	42.87446747
263	42.84729694
264	42.82733768
265	42.78982492
266	42.73625382
267	42.68421508
268	42.66475178
269	42.60274217
270	42.56868499
271	42.51420679
272	42.48831167
273	42.46240992
274	42.43850263
275	42.39771463
276	42.36739956
277	42.33517092
278	42.3070433
279	42.27829098
280	42.25028671
281	42.23304487
282	42.16861294
283	42.12807392
284	42.08043152
285	42.04466758
286	42.00714859
287	41.983492
288	41.9320781
289	41.89002725
290	41.86576783
291	41.84060457
292	41.81041371
293	41.7969397
294	41.77645304
295	41.74528294
296	41.70446645
297	41.66400359
298	41.64097451
299	41.61637206
300	41.56694995
301	41.53710015
302	41.50685493
303	41.46335829
304	41.41621164
305	41.37425281
306	41.34582102
307	41.3195191
308	41.30067367
309	41.2754129
310	41.24451626
311	41.22970945
312	41.21666069
313	41.17372899
314	41.11317471
315	41.07712473
316	41.04617
317	41.02331129
318	41.00707376
319	40.98024317
320	40.95229804
321	40.93124272
322	40.90732051
323	40.86886268
324	40.84946218
325	40.83078675
326	40.81126846
327	40.77745037
328	40.74801186
329	40.71268342
330	40.68622028
331	40.64473051
332	40.61438067
333	40.57539007
334	40.54740602
335	40.52413099
336	40.50830646
337	40.47133118
338	40.43778562
339	40.41961486
340	40.39634907
341	40.38193793
342	40.36715707
343	40.33416658
344	40.31300942
345	40.28294779
346	40.2656093
347	40.24826361
348	40.22905286
349	40.20894266
350	40.18551905
351	40.15488039
352	40.13693477
353	40.10443548
354	40.08049571
355	40.05988926
356	40.02264518
357	40.00784286
358	39.98591807
359	39.96858825
360	39.93208626
361	39.91505372
362	39.89904359
363	39.8732133
364	39.86109107
365	39.83596303
366	39.82687986
367	39.80744432
368	39.77387138
369	39.74582329
370	39.7159332
371	39.69040931
372	39.67918337
373	39.66704241
374	39.63833626
375	39.60826401
376	39.59218951
377	39.56407622
378	39.53093517
379	39.520951
380	39.49461704
381	39.47299987
382	39.4479308
383	39.43128507
384	39.41575608
385	39.40075152
386	39.37596593
387	39.35354016
388	39.34207711
389	39.29448925
390	39.27154648
391	39.2548447
392	39.24355365
393	39.21682473
394	39.20926046
395	39.18340274
396	39.1404714
397	39.11752151
398	39.09771007
399	39.07608866
400	39.0417747
401	39.03234546
402	39.02000946
403	39.0049187
404	38.98902645
405	38.97026069
406	38.94599995
407	38.93521379
408	38.92610789
409	38.90028685
410	38.88159313
411	38.85401687
412	38.83014302
413	38.81086351
414	38.78954042
415	38.77018341
416	38.73912738
417	38.72262054
418	38.71019344
419	38.67923908
420	38.66562181
421	38.64533631
422	38.63798622
423	38.62494541
424	38.61095191
425	38.59246246
426	38.57296491
427	38.54568724
428	38.52324362
429	38.50091047
430	38.48616231
431	38.44677768
432	38.43690726
433	38.42971184
434	38.40565797
435	38.38788567
436	38.37157253
437	38.35972979
438	38.34747881
439	38.31782101
440	38.29938046
441	38.2868754
442	38.27907951
443	38.26663002
444	38.25312988
445	38.22518248
446	38.20768522
447	38.18997199
448	38.17545478
449	38.16240632
450	38.14496026
451	38.12889823
452	38.10863863
453	38.09121725
454	38.06925856
455	38.05787219
456	38.03548193
457	38.02437413
458	38.00487847
459	37.97443225
460	37.95437372
461	37.93517108
462	37.92135838
463	37.89597968
464	37.86904983
465	37.85129102
466	37.84282408
467	37.82319671
468	37.8049394
469	37.78653633
470	37.76974115
471	37.74985165
472	37.73191072
473	37.71667461
474	37.68491515
475	37.67921034
476	37.66844425
477	37.65316531
478	37.64019853
479	37.63534722
480	37.61881701
481	37.60861941
482	37.59654558
483	37.57447335
484	37.55831542
485	37.54331768
486	37.52513615
487	37.5099507
488	37.49297223
489	37.48128253
490	37.46852772
491	37.46147233
492	37.44163929
493	37.42495159
494	37.41247688
495	37.40270115
496	37.38733379
497	37.3770492
498	37.35866437
499	37.33788942
500	37.32490898
501	37.30804732
502	37.28851709
503	37.27333749
504	37.26157092
505	37.25196998
506	37.24018107
507	37.22568865
508	37.21454541
509	37.20132929
510	37.18020507
511	37.16596167
512	37.15755061
513	37.145665
514	37.14000417
515	37.12823526
516	37.10713636
517	37.09048096
518	37.06184762
519	37.05543288
520	37.03531098
521	37.01999805
522	37.014951
523	37.00487625
524	36.9889169
525	36.97589514
526	36.95879396
527	36.95165315
528	36.93115097
529	36.9162836
530	36.90162353
531	36.89653456
532	36.8814901
533	36.86858259
534	36.86084006
535	36.84648928
536	36.82452332
537	36.80993739
538	36.79502574
539	36.78257905
540	36.76648339
541	36.76435456
542	36.7546582
543	36.73539607
544	36.72637518
545	36.70625643
546	36.69265304
547	36.68989218
548	36.67098182
549	36.65137589
550	36.63926043
551	36.62405835
552	36.6056478
553	36.58556537
554	36.57434561
555	36.55921681
556	36.53873487
557	36.51873992
558	36.49798559
559	36.4880193
560	36.47684887
561	36.45777554
562	36.44655886
563	36.43044572
564	36.41296647
565	36.38817739
566	36.37547468
567	36.36140862
568	36.34672078
569	36.33461458
570	36.32909751
571	36.32078577
572	36.31140378
573	36.29303327
574	36.27837937
575	36.25405398
576	36.23906676
577	36.2271153
578	36.21100839
579	36.19832407
580	36.17687053
581	36.16389102
582	36.14811903
583	36.13452228
584	36.1195762
585	36.09954544
586	36.09119957
587	36.0778699
588	36.05055484
589	36.03981967
590	36.02127928
591	36.00500766
592	35.98624842
593	35.96840077
594	35.96036312
595	35.95098958
596	35.93176647
597	35.91658119
598	35.89756822
599	35.88363231
600	35.86578733
601	35.84396309
602	35.82924021
603	35.82292197
604	35.80709832
605	35.79239717
606	35.77160809
607	35.7619983
608	35.7466553
609	35.73149383
610	35.71593105
611	35.70577167
612	35.69044572
613	35.66726058
614	35.64201979
615	35.62465825
616	35.61213427
617	35.60768399
618	35.59068742
619	35.58043769
620	35.5678279
621	35.55522695
622	35.53371972
623	35.52102713
624	35.51192678
625	35.49745119
626	35.48367523
627	35.46988825
628	35.45576202
629	35.44164605
630	35.42880509
631	35.42347387
632	35.41634151
633	35.40040167
634	35.391804
635	35.37566353
636	35.36265149
637	35.3525588
638	35.34405617
639	35.32962202
640	35.32305448
641	35.30318848
642	35.28264112
643	35.26660547
644	35.23494527
645	35.21917299
646	35.21278679
647	35.2040308
648	35.1933096
649	35.18563034
650	35.17350609
651	35.14532998
652	35.13308506
653	35.12060732
654	35.11566767
655	35.10434975
656	35.0907324
657	35.08013807
658	35.06820366
659	35.06325773
660	35.05950282
661	35.05285026
662	35.03496146
663	35.02612324
664	35.01863849
665	35.00959655
666	35.00648756
667	34.98388626
668	34.97222176
669	34.96093387
670	34.94836247
671	34.94103617
672	34.92848019
673	34.91405475
674	34.90408722
675	34.88587048
676	34.87228428
677	34.86023072
678	34.85052341
679	34.84086603
680	34.82067667
681	34.81151084
682	34.79801057
683	34.78566245
684	34.77282718
685	34.75995331
686	34.75011739
687	34.74683347
688	34.73231446
689	34.72333308
690	34.72293706
691	34.71378026
692	34.69406498
693	34.68888036
694	34.67956663
695	34.67460002
696	34.66763149
697	34.6575996
698	34.65677734
699	34.6477505
700	34.63442308
701	34.62543981
702	34.58701487
703	34.58018857
704	34.56694187
705	34.56638876
706	34.55878938
707	34.55047063
708	34.54230712
709	34.53693059
710	34.52426589
711	34.52039433
712	34.51015882
713	34.49969277
714	34.49004478
715	34.48496899
716	34.46869227
717	34.4599218
718	34.45332449
719	34.44676995
720	34.4319362
721	34.42531379
722	34.407859
723	34.39791647
724	34.39013672
725	34.37707182
726	34.36086312
727	34.35160748
728	34.33735638
729	34.32547553
730	34.31902955
731	34.31496304
732	34.30333033
733	34.29612493
734	34.28454883
735	34.27971362
736	34.27488664
737	34.27136007
738	34.26627044
739	34.2486628
740	34.24209807
741	34.23768612
742	34.22798964
743	34.21566581
744	34.19411025
745	34.18628702
746	34.18171557
747	34.17974664
748	34.16357199
749	34.15614259
750	34.14446855
751	34.13193587
752	34.12175705
753	34.11726426
754	34.11070263
755	34.09666286
756	34.07429596
757	34.06894881
758	34.0659116
759	34.05658861
760	34.04634592
761	34.04002256
762	34.02943956
763	34.01699543
764	34.00300215
765	34.0001167
766	33.99170486
767	33.98380499
768	33.96907725
769	33.95415998
770	33.95243849
771	33.93641313
772	33.92889841
773	33.92776925
774	33.92064909
775	33.90744186
776	33.89940852
777	33.87726403
778	33.87026421
779	33.86462619
780	33.8567801
781	33.85284261
782	33.8460395
783	33.83955205
784	33.82935181
785	33.81898141
786	33.80746244
787	33.7940368
788	33.78496848
789	33.77330933
790	33.76802618
791	33.76158768
792	33.74798632
793	33.74048319
794	33.73608038
795	33.73079469
796	33.72970046
797	33.72796191
798	33.71527492
799	33.70844767
800	33.70370265
801	33.6980758
802	33.68435377
803	33.67268391
804	33.66828853
805	33.66697912
806	33.6519243
807	33.63992882
808	33.62764763
809	33.62047586
810	33.60986163
811	33.59747629
812	33.58887503
813	33.58140742
814	33.56682782
815	33.56136064
816	33.55789481
817	33.55466874
818	33.54404958
819	33.53763
820	33.52854413
821	33.51979156
822	33.51562275
823	33.50366179
824	33.49456219
825	33.48488027
826	33.47285713
827	33.46746049
828	33.46244257
829	33.44370272
830	33.43103363
831	33.42251848
832	33.41377406
833	33.40435249
834	33.40198257
835	33.39220004
836	33.38347403
837	33.37857055
838	33.37363305
839	33.3637371
840	33.34993698
841	33.33656969
842	33.32868604
843	33.32028472
844	33.30720008
845	33.29597556
846	33.28223633
847	33.27368102
848	33.26419012
849	33.25469347
850	33.24227995
851	33.23448574
852	33.22874331
853	33.22107221
854	33.2122259
855	33.20630767
856	33.19899342
857	33.19450255
858	33.18998228
859	33.18451304
860	33.17497542
861	33.16346656
862	33.15676263
863	33.15124464
864	33.14647315
865	33.13971235
866	33.13079924
867	33.12459171
868	33.10933988
869	33.09401546
870	33.0783744
871	33.06748601
872	33.06171635
873	33.05941916
874	33.0526135
875	33.04581649
876	33.03852975
877	33.03374125
878	33.02471711
879	33.01591333
880	33.0046307
881	32.9971568
882	32.98962041
883	32.9844209
884	32.97517294
885	32.96758515
886	32.95794732
887	32.95241975
888	32.94740313
889	32.94361191
890	32.93769444
891	32.92775529
892	32.92144464
893	32.91279655
894	32.90464098
895	32.89601649
896	32.89000059
897	32.88786026
898	32.87881851
899	32.87130688
900	32.86380688
901	32.85760044
902	32.84735543
903	32.83912023
904	32.83219202
905	32.82376347
906	32.81596014
907	32.80633175
908	32.80035753
909	32.79566916
910	32.78513104
911	32.77679806
912	32.76787595
913	32.76165252
914	32.7553954
915	32.74738333
916	32.74564176
917	32.73560583
918	32.73006548
919	32.71959712
920	32.70457964
921	32.69204114
922	32.6863948
923	32.68079618
924	32.67120337
925	32.66175323
926	32.65707462
927	32.64586026
928	32.63773273
929	32.62678239
930	32.61873171
931	32.61257695
932	32.60403341
933	32.60295582
934	32.5961908
935	32.59245683
936	32.58603294
937	32.57387344
938	32.57040009
939	32.56463838
940	32.55573776
941	32.54813568
942	32.54227575
943	32.53776648
944	32.51976381
945	32.51572149
946	32.50974776
947	32.49858856
948	32.49422958
949	32.48737161
950	32.47617051
951	32.4662446
952	32.46254209
953	32.45856767
954	32.45568703
955	32.44994655
956	32.44293922
957	32.44252326
958	32.4400614
959	32.43386672
960	32.42159774
961	32.41604138
962	32.40748349
963	32.40487128
964	32.39889803
965	32.3974563
966	32.38902536
967	32.38270368
968	32.37780344
969	32.37243834
970	32.36779026
971	32.35269957
972	32.34858046
973	32.33415406
974	32.33011509
975	32.32261193
976	32.3210252
977	32.31667424
978	32.30020753
979	32.29161096
980	32.28715449
981	32.28164564
982	32.27161702
983	32.26902369
984	32.2600696
985	32.25126662
986	32.24631172
987	32.23942095
988	32.22936854
989	32.22471026
990	32.21769881
991	32.20869824
992	32.20834312
993	32.20680077
994	32.19541335
995	32.17612984
996	32.16823384
997	32.16001514
998	32.1457265
999	32.1407625
